                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2574,                 3.8638,                 2.3519,                0.53304,                0.54987,                0.50004,                0.18915,                 4.4961,                 2.5595,                 2.1441,             0.00066491,             0.00066491,             0.00066491
                      2,                 4.5561,                 2.3889,                 2.1113,                0.64436,                0.56336,                0.59977,                0.24378,                 4.3045,                 2.3497,                 2.1124,              0.0012657,              0.0012657,              0.0012657
                      3,                 4.4543,                 2.2861,                 2.0779,                0.68714,                0.61121,                0.65795,                0.26746,                 4.2602,                 2.2599,                 2.0931,              0.0018004,              0.0018004,              0.0018004
                      4,                 4.3561,                 2.2294,                 2.0574,                0.71213,                0.62384,                 0.6925,                0.30875,                 3.9831,                 2.1699,                 2.0479,               0.001703,               0.001703,               0.001703
                      5,                 4.2788,                  2.181,                 2.0478,                0.75486,                0.65226,                0.73173,                0.33428,                 3.9067,                 1.9762,                 2.0276,               0.001604,               0.001604,               0.001604
                      6,                 4.2066,                 2.1341,                   2.03,                0.70421,                0.63577,                0.67924,                0.29262,                 4.0831,                 2.1374,                  2.057,               0.001505,               0.001505,               0.001505
                      7,                 4.1864,                 2.0909,                 2.0207,                0.73958,                0.63758,                0.70965,                0.32177,                 3.9379,                 2.0161,                 2.0326,               0.001406,               0.001406,               0.001406
                      8,                 4.1274,                 2.0801,                 2.0201,                0.73108,                0.64122,                0.69539,                0.30741,                 4.0454,                 2.0894,                   2.06,               0.001307,               0.001307,               0.001307
                      9,                 4.1228,                 2.0488,                 2.0092,                0.73919,                0.65004,                0.71038,                0.31848,                 3.9662,                 1.9932,                 2.0392,               0.001208,               0.001208,               0.001208
                     10,                 4.0622,                  2.025,                 2.0037,                0.77119,                0.66746,                0.73988,                  0.342,                 3.8463,                  1.929,                 2.0087,               0.001109,               0.001109,               0.001109
                     11,                 3.9539,                 2.0303,                 2.0287,                0.77244,                0.69363,                0.76324,                0.35222,                 3.7562,                 1.8817,                  1.995,                0.00101,                0.00101,                0.00101
                     12,                 3.9002,                 1.9633,                 2.0234,                0.79244,                0.69152,                0.77395,                0.36768,                  3.709,                 1.8455,                 1.9821,               0.000911,               0.000911,               0.000911
                     13,                 3.8788,                 1.9409,                 2.0136,                0.80787,                0.69759,                0.78767,                0.38209,                 3.6427,                 1.8033,                 1.9736,               0.000812,               0.000812,               0.000812
                     14,                 3.8419,                 1.9189,                  1.999,                0.80702,                0.69476,                0.78695,                0.38711,                 3.6231,                 1.7705,                 1.9688,               0.000713,               0.000713,               0.000713
                     15,                 3.7948,                 1.8929,                 1.9995,                0.80594,                0.70276,                0.78931,                0.38032,                 3.6577,                 1.7805,                 1.9735,               0.000614,               0.000614,               0.000614
                     16,                 3.7767,                 1.8647,                 1.9913,                0.81878,                0.70418,                0.79828,                0.39488,                 3.5843,                 1.7397,                 1.9626,               0.000515,               0.000515,               0.000515
                     17,                 3.7658,                 1.8532,                  1.987,                0.81533,                0.71646,                0.80201,                0.40068,                 3.5474,                 1.7159,                   1.96,               0.000416,               0.000416,               0.000416
                     18,                 3.7206,                 1.8328,                 1.9789,                0.81196,                0.71409,                 0.7975,                0.38873,                 3.6141,                 1.7487,                 1.9633,               0.000317,               0.000317,               0.000317
                     19,                 3.7247,                 1.8222,                 1.9832,                0.82206,                0.71961,                0.80543,                0.40363,                 3.5308,                 1.6874,                 1.9503,               0.000218,               0.000218,               0.000218
                     20,                 3.6865,                 1.8015,                 1.9728,                0.81932,                0.71723,                0.80442,                0.40155,                 3.5359,                 1.6987,                 1.9519,               0.000119,               0.000119,               0.000119
